"Indicativo","NOMBRE","PROVINCIA","MUNICIPIO","ALTITUD","LONGITUD","LATITUD","DATUM","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre","anual","Archivo_Origen"
"0016A","REUS/AEROPUERTO","TARRAGONA","REUS",71,109491,410842,"ETRS89","84","100","96","124","156","175","189","206","167","117","125","82","135","E_2020.csv"
"0076",NA,NA,NA,NA,NA,NA,NA,"96","116","108","140","170","195","228","244","191","139","137","92","155","E_2020.csv"
"0200E","BARCELONA (FABRA)","BARCELONA","BARCELONA",408,207271,412506,"ETRS89","84","102","95","118","147","172","195","210","162","121",NA,"82",NA,"E_2020.csv"
"0367",NA,NA,NA,NA,NA,NA,NA,"90","105","104","130","158",NA,NA,"220",NA,"129","120","86",NA,"E_2020.csv"
"1014","HONDARRIBIA-MALKARROA","GIPUZKOA","HONDARRIBIA",4,147322,432125,"ETRS89","92","107","105","129","156","167","196","199","175","131","120","98","140","E_2020.csv"
"1024E","SAN SEBASTIÁN,IGUELDO","GIPUZKOA","DONOSTIA/SAN SEBASTIÁN",251,202282,431823,"ETRS89","89","102","101","124","155","165","191","195","168","123","110","91","135","E_2020.csv"
"1082","BILBAO/AEROPUERTO","BIZKAIA","LOIU",42,254232,431753,"ETRS89","89","106","102","132","157","165","188","193","166","132",NA,"95",NA,"E_2020.csv"
"1109","SANTANDER/PARAYAS","CANTABRIA","CAMARGO",3,349322,432526,"ETRS89",NA,"111",NA,NA,"160",NA,"189","191","170","131",NA,"99",NA,"E_2020.csv"
"1111","SANTANDER I,CMT","CANTABRIA","SANTANDER",52,348022,432928,"ETRS89","97","114","112","133","161","166","192","197","180","136","133","103","144","E_2020.csv"
"1208H","GIJÓN, MUSEL","ASTURIAS","GIJÓN",5,542032,433336,"ETRS89","97","110","105","128","151","157","181","187","174","135","128","104","138","E_2020.csv"
"1212E","ASTURIAS/AVILÉS","ASTURIAS","CASTRILLÓN",127,602392,433401,"ETRS89","93","102",NA,"128","151","161","192","197","183","137",NA,NA,NA,"E_2020.csv"
"1249I","OVIEDO","ASTURIAS","OVIEDO",336,552272,432112,"ETRS89","85","97","96","119","144","154","178","178","165","120","114","90","128","E_2020.csv"
"1387","A CORUÑA","A CORUÑA","A CORUÑA",58,825172,432157,"ETRS89","108","118","112","131","148","158","176","189","169","141","130","110","141","E_2020.csv"
"1387E","A CORUÑA/ALVEDRO","A CORUÑA","CULLEREDO",98,822192,431825,"ETRS89",NA,"110","103","124","141","149","170","181","162","134","123","105",NA,"E_2020.csv"
"1428","SANTIAGO DE COMPOSTELA/LABACOLLA","A CORUÑA","O PINO",370,824382,425317,"ETRS89","99","111","102",NA,"146","151","170","178","162","135","124","105",NA,"E_2020.csv"
"1484C","PONTEVEDRA","PONTEVEDRA","PONTEVEDRA",108,836572,422618,"ETRS89","102","118","106","128","153","156","174","175","154","137","127","108","137","E_2020.csv"
"1495","VIGO/PEINADOR","PONTEVEDRA","REDONDELA",261,837262,421419,"ETRS89",NA,"121","111",NA,"162","164",NA,NA,"165","135","124","103",NA,"E_2020.csv"
"1505","LUGO/ROZAS","LUGO","CASTRO DE REI",445,727272,430641,"ETRS89","88","99","96","118","137","143","164","163","150","123","113","92","124","E_2020.csv"
"1549","PONFERRADA","LEON","PONFERRADA",534,636002,423350,"ETRS89","75","87","81","106","120","122","141",NA,"119","107","102","84",NA,"E_2020.csv"
"1690A","OURENSE","OURENSE","OURENSE",143,751352,421931,"ETRS89","91","106","99","125","145","141","155","150","131","123","120","99","124","E_2020.csv"
"2030","SORIA","SORIA","SORIA",1082,228592,414630,"ETRS89","66","73","73","102","109",NA,"124","117",NA,"90","88","70",NA,"E_2020.csv"
"2331","BURGOS/VILLAFRÍA","BURGOS","BURGOS",891,337132,422125,"ETRS89","74","84","80","109","118","124","133","124","108","97","93","77","102","E_2020.csv"
"2422","VALLADOLID","VALLADOLID","VALLADOLID",735,445162,413827,"ETRS89","76","88","82","112","121","114","123","118","110","98","100","80","102","E_2020.csv"
"2444","ÁVILA","AVILA","ÁVILA",1130,440482,403933,"ETRS89","63","73","72","96","104","101","103","103","97","88","90","72","89","E_2020.csv"
"2462","NAVACERRADA,PUERTO","MADRID","CERCEDILLA",1894,400382,404735,"ETRS89",NA,"58","62","81","90","95","93",NA,"88","76","70","58",NA,"E_2020.csv"
"2465","SEGOVIA","SEGOVIA","SEGOVIA",1005,407352,405643,"ETRS89","64","74","76","98","110","103","107","104","96","89","89","75","90","E_2020.csv"
"2539","VALLADOLID/VILLANUBLA","VALLADOLID","VILLANUBLA",846,451202,414243,"ETRS89","74","86","81","108","120","112","120","117","106","95","95","77","99","E_2020.csv"
"2614","ZAMORA","ZAMORA","ZAMORA",656,544072,413056,"ETRS89","79","92","87","115","120","116","127","123","114","100","105",NA,NA,"E_2020.csv"
"2661","LEÓN/VIRGEN DEL CAMINO","LEON","VALVERDE DE LA VIRGEN",912,539042,423518,"ETRS89",NA,"77","68","96","109","106","116","117","109","97","97","74",NA,"E_2020.csv"
"2867","SALAMANCA/MATACAN","SALAMANCA","CALVARRASA DE ABAJO",790,529542,405734,"ETRS89","74","84","84","110","122","118","131","124","113","95","95","78","102","E_2020.csv"
"2870","SALAMANCA,OBS.","SALAMANCA","SALAMANCA",775,539442,405727,"ETRS89","76","85","85","106","120","127","156",NA,"126","101","99","80",NA,"E_2020.csv"
"3013","MOLINA DE ARAGÓN","GUADALAJARA","MOLINA DE ARAGÓN",1062,152442,405030,"ETRS89","62","71","74","102","112","115","125","115","101","83","82","65","92","E_2020.csv"
"3129","MADRID/BARAJAS","MADRID","MADRID",609,333202,402800,"ETRS89","74","87","84","114","118","106","111","112","110","97","104","77","100","E_2020.csv"
"3175","MADRID/TORREJÓN","MADRID","TORREJÓN DE ARDOZ",607,326372,402919,"ETRS89","75","89","87",NA,"123","115","122",NA,"115","100","106","78",NA,"E_2020.csv"
"3191E","COLMENAR VIEJO/FAMET","MADRID","COLMENAR VIEJO",1004,345542,404146,"ETRS89","71",NA,"81","103","123","114","129","121","108","91","100","70",NA,"E_2020.csv"
"3195","MADRID,RETIRO","MADRID","MADRID",667,340412,402443,"ETRS89","67","78","75","90","105",NA,"131",NA,NA,NA,"107","78",NA,"E_2020.csv"
"3196","MADRID/CUATRO VIENTOS","MADRID","MADRID",690,347102,402232,"ETRS89","77","89","85","111","114","108","120","123","119","101","107","78","103","E_2020.csv"
"3200","MADRID/GETAFE","MADRID","GETAFE",620,343202,401758,"ETRS89","77","92","89","113","119","115","120","115","113",NA,"112","82",NA,"E_2020.csv"
"3260B","TOLEDO","TOLEDO","TOLEDO",515,402432,395305,"ETRS89","82","97","92","119","122","109","122","118","117","100","117","89","107","E_2020.csv"
"3469A","CÁCERES","CACERES","CÁCERES",394,620202,392817,"ETRS89","94","112","103","128","141","119","121","119","116","109","128","100","116","E_2020.csv"
"367","GIRONA/COSTA BRAVA","GIRONA","VILOBÍ D'ONYAR",143,245481,415442,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4121","CIUDAD REAL","CIUDAD REAL","CIUDAD REAL",628,355132,385921,"ETRS89","81","97","91","115","116","104","116","110","112","95","110","89","103","E_2020.csv"
"4452","BADAJOZ/TALAVERA LA REAL","BADAJOZ","BADAJOZ",185,648502,385300,"ETRS89","100","113","105","132","138","127","130","131","124","112","135","109","121","E_2020.csv"
"4642E","HUELVA, RONDA ESTE","HUELVA","HUELVA",19,654422,371642,"ETRS89","111","123","118","144","163","154","190","167","164","130","150","120","145","E_2020.csv"
"5000C","CEUTA","CEUTA","CEUTA",87,520492,355319,"ETRS89","117","140","133","152","173","179","251","222","217","165","159","129","170","E_2020.csv"
"5270B","JAÉN","JAEN","JAÉN",580,348322,374639,"ETRS89","85","96","91","116","118",NA,"132","121",NA,"95","109","95",NA,"E_2020.csv"
"5402","CÓRDOBA/AEROPUERTO","CORDOBA","CÓRDOBA",90,450482,375056,"ETRS89","96","112","109","139","138",NA,"143",NA,"138","110","132","106",NA,"E_2020.csv"
"5514","GRANADA/BASE AÉREA","GRANADA","ALHENDÍN",687,337532,370814,"ETRS89","73","82","84","112","105","104","128","115","116","85","100","85","99","E_2020.csv"
"5530E","GRANADA/AEROPUERTO","GRANADA","CHAUCHINA",567,347222,371123,"ETRS89","76","89","91","116","120","119","141","126","133","96","105","91","109","E_2020.csv"
"5783","SEVILLA/SAN PABLO","SEVILLA","SEVILLA",34,552452,372500,"ETRS89","104",NA,"114","136","141",NA,NA,"132","148","117",NA,"120",NA,"E_2020.csv"
"5796","MORÓN DE LA FRONTERA","SEVILLA","ARAHAL",87,536412,370952,"ETRS89","93",NA,"103","124","143","156","204","195","146","96","105","105",NA,"E_2020.csv"
"5910","ROTA B.N.OBSERVATORIO'","CADIZ","ROTA",21,619572,363820,"ETRS89","113","129","126","142","157","172","213","205","183","143","154","127","155","E_2020.csv"
"5960","JEREZ DE LA FRONTERA/AEROPUERTO","CADIZ","JEREZ DE LA FRONTERA",27,603212,364502,"ETRS89","106",NA,"118","139","153","164",NA,"189",NA,NA,NA,NA,NA,"E_2020.csv"
"5973","CÁDIZ,OBS.","CADIZ","CÁDIZ",2,615282,362959,"ETRS89","123","140","134","149","168","185","229","225","203","157","165","135","168","E_2020.csv"
"6000A","MELILLA","MELILLA","MELILLA",52,257232,351635,"ETRS89","105","130",NA,NA,"167","175","247","224",NA,"164","149","129",NA,"E_2020.csv"
"6001","TARIFA","CADIZ","TARIFA",32,535562,360050,"ETRS89","120","142",NA,NA,NA,"188","241","238","219","165",NA,"137",NA,"E_2020.csv"
"6155A","MÁLAGA/AEROPUERTO","MALAGA","MÁLAGA",5,428562,363958,"ETRS89","107","124",NA,"141","158",NA,"232","206","191","135","155","114",NA,"E_2020.csv"
"6325O","ALMERÍA/AEROPUERTO","ALMERIA","ALMERÍA",21,221252,365047,"ETRS89","109","127","123","144","151","194","231","243","201","148","147","108","161","E_2020.csv"
"7031","MURCIA/SAN JAVIER","MURCIA","SAN JAVIER",4,48122,374720,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7178I","MURCIA","MURCIA","MURCIA",61,110152,380007,"ETRS89","94","109","107","132","144","165","206","198","170","117","135","83","138","E_2020.csv"
"7228","MURCIA/ALCANTARILLA","MURCIA","MURCIA",75,113432,375728,"ETRS89","94","109","107","129","143","163","201","186","165","118","135","84","136","E_2020.csv"
"76","BARCELONA/AEROPUERTO","BARCELONA","EL PRAT DE LLOBREGAT",4,204121,411734,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8019","ALICANTE-ELCHE/AEROPUERTO","ALICANTE","ELCHE/ELX",43,34152,381658,"ETRS89",NA,"115","111","136","159","189","226",NA,"184","133","144","88",NA,"E_2020.csv"
"8025","ALICANTE","ALICANTE","ALICANTE/ALACANT",81,29392,382221,"ETRS89","94","109","105","126","147","181","213","231","175","129","139","86","145","E_2020.csv"
"8096","CUENCA","CUENCA","CUENCA",948,207552,400402,"ETRS89","67","76","80","97","106","100","118","111","101","85","91","72","92","E_2020.csv"
"8175","ALBACETE/LOS LLANOS","ALBACETE","ALBACETE",702,151232,385715,"ETRS89","76","90","87","107","119","110","144","124","123","95","105","79","105","E_2020.csv"
"8178D","ALBACETE,OBS.","ALBACETE","ALBACETE",676,151442,390020,"ETRS89","75","87","87","100","117","123","170","154","126","93","100","75","109","E_2020.csv"
"8368U","TERUEL","TERUEL","TERUEL",900,107272,402102,"ETRS89","60","67","76","102","118","119","138","132","107","83","87","65","96","E_2020.csv"
"8414A","VALENCIA/AEROPUERTO","VALENCIA","MANISES",56,28292,392906,"ETRS89","94","109","105","130","151","177","221","222","171","122","136","82","143","E_2020.csv"
"8416","VALENCIA","VALENCIA","VALÈNCIA",11,21592,392850,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8500A","CASTELLÓN-ALMASSORA","CASTELLON","ALMASSORA",43,4192,395726,"ETRS89","95","106","103","131","144",NA,"214","222","167","122","138","83",NA,"E_2020.csv"
"9091O","FORONDA-TXOKIZA","ARABA/ALAVA","VITORIA-GASTEIZ",513,244062,425255,"ETRS89","80","97","94","121","134","145","165","156","135","116","104","83","119","E_2020.csv"
"9170","LOGROÑO/AGONCILLO","LA RIOJA","AGONCILLO",353,219522,422708,"ETRS89","79",NA,"90","124",NA,"142","149","156","127","109","106","81",NA,"E_2020.csv"
"9262","PAMPLONA OBSERVATORIO","NAVARRA","PAMPLONA/IRUÑA",450,138182,424904,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9263D","PAMPLONA/NOAIN","NAVARRA","GALAR",459,139002,424637,"ETRS89",NA,"88",NA,NA,"137","146","164","157","128","109","98","79",NA,"E_2020.csv"
"9381I","CALAMOCHA","TERUEL","CALAMOCHA",890,117362,405534,"ETRS89","64","70","75","102","120","124","129","127","107","87","86","68","97","E_2020.csv"
"9390","DAROCA I","ZARAGOZA","DAROCA",779,124362,410652,"ETRS89","65","74","77","105","121","128","135","128","111","89","89","70","99","E_2020.csv"
"9434","ZARAGOZA/AEROPUERTO","ZARAGOZA","ZARAGOZA",249,100152,413938,"ETRS89","79","92","88","116","133","139","149","149","130","110","109","80","115","E_2020.csv"
"9771C","LLEIDA","LLEIDA","LLEIDA",185,35531,413734,"ETRS89","82","97","93","122","151","159","171","170","143","109","113","81","124","E_2020.csv"
"9898","HUESCA/PIRINEOS","HUESCA","ALCALÁ DEL OBISPO",546,19322,420504,"ETRS89","78","94","91","117","145","144","154","138","116","101","102","76","113","E_2020.csv"
"9981A","TORTOSA","TARRAGONA","ROQUETES",50,29361,404913,"ETRS89","88","106","102","137","167","186","208","213","166","118","131","85","142","E_2020.csv"
"B228","PALMA-PUERTO","BALEARES","PALMA",3,237311,393319,"ETRS89","107","116","111","139","164","195",NA,"251","197","152","150","110",NA,"E_2020.csv"
"B278","PALMA DE MALLORCA/SON SAN JUAN","BALEARES","PALMA",8,244121,393339,"ETRS89","109","116","112","138","161","184","206","234","187","142","138","105","153","E_2020.csv"
"B893","MENORCA/AEROPUERTO","BALEARES","MAÓ-MAHÓN",91,412561,395117,"ETRS89","117","119","119","145","161","182","201","233","194",NA,"146","113",NA,"E_2020.csv"
"B954","IBIZA/ES CODOLÁ","BALEARES","SANT JOSEP DE SA TALAIA",6,123041,385235,"ETRS89","104","115","109","135",NA,"191","240","261","206",NA,"153","108",NA,"E_2020.csv"
"C029O","LANZAROTE/AEROPUERTO","LAS PALMAS","SAN BARTOLOMÉ",14,1336012,285707,"REGCAN95","117","134","143",NA,"174",NA,"214","217","216","182",NA,"151",NA,"E_2020.csv"
"C139E","LA PALMA/AEROPUERTO","SANTA CRUZ DE TENERIFE","BREÑA BAJA",33,1745182,283759,"REGCAN95","130",NA,"149","160",NA,"196","209",NA,"224",NA,NA,"159",NA,"E_2020.csv"
"C249I","FUERTEVENTURA/AEROPUERTO","LAS PALMAS","PUERTO DEL ROSARIO",25,1351472,282641,"REGCAN95","128","155","152","160","180","203","222","222","224","201","174","154","181","E_2020.csv"
"C429I","TENERIFE/SUR","SANTA CRUZ DE TENERIFE","GRANADILLA DE ABONA",64,1633402,280249,"REGCAN95","113","124","142","157","169","192","204","200","210","191",NA,"154",NA,"E_2020.csv"
"C430E","IZAÑA","SANTA CRUZ DE TENERIFE","LA OROTAVA",2371,1629582,281832,"REGCAN95",NA,"35",NA,"57",NA,"55",NA,NA,"65","61",NA,"51",NA,"E_2020.csv"
"C447A","TENERIFE/LOS RODEOS","SANTA CRUZ DE TENERIFE","SAN CRISTÓBAL DE LA LAGUNA",632,1619462,282839,"REGCAN95","106","105","122","143","143","170","176","169","174","166","142","143","147","E_2020.csv"
"C449C","STA.CRUZ DE TENERIFE","SANTA CRUZ DE TENERIFE","SANTA CRUZ DE TENERIFE",35,1615192,282748,"REGCAN95","121","131","141","149","160","186",NA,"180","199","187","166","156",NA,"E_2020.csv"
"C649I","GRAN CANARIA/AEROPUERTO","LAS PALMAS","INGENIO",32,1523432,275504,"REGCAN95","114","125",NA,NA,NA,"188","198",NA,"205","188","164","152",NA,"E_2020.csv"
"C929I","HIERRO/AEROPUERTO","SANTA CRUZ DE TENERIFE","VALVERDE",32,1753202,274908,"REGCAN95","140",NA,"162","167","182","197","208","224","229",NA,"181","167",NA,"E_2020.csv"
"0016A","REUS/AEROPUERTO","TARRAGONA","REUS",71,109491,410842,"ETRS89","512","850","1113",NA,NA,"1185","1754","1363",NA,"1593","544","1111",NA,"EVAP_2020.csv"
"0200E","BARCELONA (FABRA)","BARCELONA","BARCELONA",408,207271,412506,"ETRS89","1038","1039","1108","1111","1577","1233","1944","1889","1741",NA,"845","1156",NA,"EVAP_2020.csv"
"1014","HONDARRIBIA-MALKARROA","GIPUZKOA","HONDARRIBIA",4,147322,432125,"ETRS89","588","619","504","809","774","621","817","792","817","710","691","570","8312","EVAP_2020.csv"
"1024E","SAN SEBASTIÁN,IGUELDO","GIPUZKOA","DONOSTIA/SAN SEBASTIÁN",251,202282,431823,"ETRS89","959","875","765","1050",NA,"668","691","872","1040",NA,"1349","1001",NA,"EVAP_2020.csv"
"1082","BILBAO/AEROPUERTO","BIZKAIA","LOIU",42,254232,431753,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1109","SANTANDER/PARAYAS","CANTABRIA","CAMARGO",3,349322,432526,"ETRS89","1400","1278",NA,NA,NA,"1245","1552","1474","1445",NA,"1420","1465",NA,"EVAP_2020.csv"
"1111","SANTANDER I,CMT","CANTABRIA","SANTANDER",52,348022,432928,"ETRS89","1161","990",NA,NA,NA,"883","1041",NA,"1094","1352","1139",NA,NA,"EVAP_2020.csv"
"1208H","GIJÓN, MUSEL","ASTURIAS","GIJÓN",5,542032,433336,"ETRS89","837","830","862",NA,"752","871",NA,NA,"841",NA,"790","832",NA,"EVAP_2020.csv"
"1212E","ASTURIAS/AVILÉS","ASTURIAS","CASTRILLÓN",127,602392,433401,"ETRS89","642","825",NA,NA,NA,NA,"1049","689","765","830","548","625",NA,"EVAP_2020.csv"
"1249I","OVIEDO","ASTURIAS","OVIEDO",336,552272,432112,"ETRS89","586","787","822","737","964","740","737","856","671","754","494","617","8765","EVAP_2020.csv"
"1387","A CORUÑA","A CORUÑA","A CORUÑA",58,825172,432157,"ETRS89","606","673","754","571","998","729","956","795",NA,"745","615","673",NA,"EVAP_2020.csv"
"1387E","A CORUÑA/ALVEDRO","A CORUÑA","CULLEREDO",98,822192,431825,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1428","SANTIAGO DE COMPOSTELA/LABACOLLA","A CORUÑA","O PINO",370,824382,425317,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1484C","PONTEVEDRA","PONTEVEDRA","PONTEVEDRA",108,836572,422618,"ETRS89","374","393",NA,NA,NA,NA,"1084","685","724","371","447","224",NA,"EVAP_2020.csv"
"1495","VIGO/PEINADOR","PONTEVEDRA","REDONDELA",261,837262,421419,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1505","LUGO/ROZAS","LUGO","CASTRO DE REI",445,727272,430641,"ETRS89","549","776","725","725","1119","846","843","765","642","425","388","280","8083","EVAP_2020.csv"
"1549","PONFERRADA","LEON","PONFERRADA",534,636002,423350,"ETRS89",NA,NA,"886",NA,NA,NA,NA,NA,NA,"743","470",NA,NA,"EVAP_2020.csv"
"1690A","OURENSE","OURENSE","OURENSE",143,751352,421931,"ETRS89","378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EVAP_2020.csv"
"2030","SORIA","SORIA","SORIA",1082,228592,414630,"ETRS89","426","667","961","511",NA,NA,NA,NA,NA,NA,NA,"306",NA,"EVAP_2020.csv"
"2331","BURGOS/VILLAFRÍA","BURGOS","BURGOS",891,337132,422125,"ETRS89",NA,"652",NA,NA,NA,NA,"2096","2027","1477","837","512","431",NA,"EVAP_2020.csv"
"2422","VALLADOLID","VALLADOLID","VALLADOLID",735,445162,413827,"ETRS89",NA,"487","785","568","1166","1602","2461","2019","1409","753","329","314",NA,"EVAP_2020.csv"
"2444","ÁVILA","AVILA","ÁVILA",1130,440482,403933,"ETRS89","379","650","916","529","1312",NA,NA,NA,NA,"598","447","350",NA,"EVAP_2020.csv"
"2462","NAVACERRADA,PUERTO","MADRID","CERCEDILLA",1894,400382,404735,"ETRS89",NA,NA,NA,NA,"1053","1211","2500",NA,NA,"515","801",NA,NA,"EVAP_2020.csv"
"2465","SEGOVIA","SEGOVIA","SEGOVIA",1005,407352,405643,"ETRS89",NA,NA,"1050","610","1170",NA,NA,NA,NA,NA,NA,NA,NA,"EVAP_2020.csv"
"2539","VALLADOLID/VILLANUBLA","VALLADOLID","VILLANUBLA",846,451202,414243,"ETRS89",NA,"677",NA,NA,NA,NA,NA,"2859","2034","1086","487",NA,NA,"EVAP_2020.csv"
"2614","ZAMORA","ZAMORA","ZAMORA",656,544072,413056,"ETRS89",NA,NA,"678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EVAP_2020.csv"
"2661","LEÓN/VIRGEN DEL CAMINO","LEON","VALVERDE DE LA VIRGEN",912,539042,423518,"ETRS89",NA,NA,NA,NA,NA,NA,NA,"1979","1466","922","371",NA,NA,"EVAP_2020.csv"
"2867","SALAMANCA/MATACAN","SALAMANCA","CALVARRASA DE ABAJO",790,529542,405734,"ETRS89",NA,"713",NA,NA,NA,NA,"3013","2845","1771","1151","473","510",NA,"EVAP_2020.csv"
"2870","SALAMANCA,OBS.","SALAMANCA","SALAMANCA",775,539442,405727,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3013","MOLINA DE ARAGÓN","GUADALAJARA","MOLINA DE ARAGÓN",1062,152442,405030,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3129","MADRID/BARAJAS","MADRID","MADRID",609,333202,402800,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3175","MADRID/TORREJÓN","MADRID","TORREJÓN DE ARDOZ",607,326372,402919,"ETRS89","805","955","1375","1153","2378","3655","5117","4629","2884","1937","718","1036","26642","EVAP_2020.csv"
"3191E","COLMENAR VIEJO/FAMET","MADRID","COLMENAR VIEJO",1004,345542,404146,"ETRS89","647","547","1002","663","1451","2450","3801","3198","2037","1095","681","643","18215","EVAP_2020.csv"
"3195","MADRID,RETIRO","MADRID","MADRID",667,340412,402443,"ETRS89","358","528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EVAP_2020.csv"
"3196","MADRID/CUATRO VIENTOS","MADRID","MADRID",690,347102,402232,"ETRS89","834","1027","1491","1305","2436","4240","5666","4645","2923","1883","654","886","27990","EVAP_2020.csv"
"3200","MADRID/GETAFE","MADRID","GETAFE",620,343202,401758,"ETRS89","557","732","1175","1066","2134","3364","4257","3536","2288","1404","494","711","21718","EVAP_2020.csv"
"3260B","TOLEDO","TOLEDO","TOLEDO",515,402432,395305,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3469A","CÁCERES","CACERES","CÁCERES",394,620202,392817,"ETRS89","477","637","1118","851","1590","2867",NA,NA,"2153","1446","406","569",NA,"EVAP_2020.csv"
"367","GIRONA/COSTA BRAVA","GIRONA","VILOBÍ D'ONYAR",143,245481,415442,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4121","CIUDAD REAL","CIUDAD REAL","CIUDAD REAL",628,355132,385921,"ETRS89","177","336","724",NA,"1195","1613","1897","1757","1136","693","293","265",NA,"EVAP_2020.csv"
"4452","BADAJOZ/TALAVERA LA REAL","BADAJOZ","BADAJOZ",185,648502,385300,"ETRS89","465","538",NA,NA,NA,NA,"3189","2792","1941","1240","376","441",NA,"EVAP_2020.csv"
"4642E","HUELVA, RONDA ESTE","HUELVA","HUELVA",19,654422,371642,"ETRS89",NA,"750","1042","912",NA,NA,NA,NA,NA,NA,NA,"530",NA,"EVAP_2020.csv"
"5000C","CEUTA","CEUTA","CEUTA",87,520492,355319,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5270B","JAÉN","JAEN","JAÉN",580,348322,374639,"ETRS89",NA,"796",NA,NA,NA,"2439",NA,NA,"2024",NA,NA,NA,NA,"EVAP_2020.csv"
"5402","CÓRDOBA/AEROPUERTO","CORDOBA","CÓRDOBA",90,450482,375056,"ETRS89","433","840","1312",NA,NA,"3732",NA,NA,"2271",NA,NA,NA,NA,"EVAP_2020.csv"
"5514","GRANADA/BASE AÉREA","GRANADA","ALHENDÍN",687,337532,370814,"ETRS89",NA,"894","1350","990","2324","3066","4456","3978","2469","1813","1012","488",NA,"EVAP_2020.csv"
"5530E","GRANADA/AEROPUERTO","GRANADA","CHAUCHINA",567,347222,371123,"ETRS89","511","812",NA,NA,NA,NA,"3595","3073","2035","1389","706","364",NA,"EVAP_2020.csv"
"5783","SEVILLA/SAN PABLO","SEVILLA","SEVILLA",34,552452,372500,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5796","MORÓN DE LA FRONTERA","SEVILLA","ARAHAL",87,536412,370952,"ETRS89","724","1040","1275",NA,NA,"2666","3502","3422","2796","2027","1008","607",NA,"EVAP_2020.csv"
"5910","ROTA B.N.OBSERVATORIO'","CADIZ","ROTA",21,619572,363820,"ETRS89","890","1135","1560","1233","2274","2103","2426","2495","2576","1859","848","1042","20441","EVAP_2020.csv"
"5960","JEREZ DE LA FRONTERA/AEROPUERTO","CADIZ","JEREZ DE LA FRONTERA",27,603212,364502,"ETRS89","582",NA,NA,NA,NA,"1752",NA,NA,"1848","1550","1170","422",NA,"EVAP_2020.csv"
"5973","CÁDIZ,OBS.","CADIZ","CÁDIZ",2,615282,362959,"ETRS89",NA,NA,NA,NA,NA,"1347","1546",NA,NA,NA,NA,NA,NA,"EVAP_2020.csv"
"6000A","MELILLA","MELILLA","MELILLA",52,257232,351635,"ETRS89","614","519","783",NA,NA,"1559","1196","1684","1280","1021","715","781",NA,"EVAP_2020.csv"
"6001","TARIFA","CADIZ","TARIFA",32,535562,360050,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6155A","MÁLAGA/AEROPUERTO","MALAGA","MÁLAGA",5,428562,363958,"ETRS89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6325O","ALMERÍA/AEROPUERTO","ALMERIA","ALMERÍA",21,221252,365047,"ETRS89","694","754",NA,NA,NA,NA,"1903","1623","1409","1321","895","1176",NA,"EVAP_2020.csv"
"7031","MURCIA/SAN JAVIER","MURCIA","SAN JAVIER",4,48122,374720,"ETRS89","786","1004","1499","1043","1565",NA,"1472","1848","1736","1707","776","1394",NA,"EVAP_2020.csv"
"7178I","MURCIA","MURCIA","MURCIA",61,110152,380007,"ETRS89","571","986","1137","866","1785","2070","2364","2241","1697","1431","711","1049","16908","EVAP_2020.csv"
"7228","MURCIA/ALCANTARILLA","MURCIA","MURCIA",75,113432,375728,"ETRS89","634","808",NA,"1113","2004","2374","2591","2707","1965","1615","720","1329",NA,"EVAP_2020.csv"
